ID,texto_original,label,origen,plantilla_id,subclase,texto_modelo
V3-01530,"🐖 Los gordos no son gente, así de simple",2,v3_emoji_clase2,emoji_clase2|emoji_🐖,Personas con sobrepeso,":cerdo: Los gordos no son gente, así de simple"
V3-01531,"Nadie te preguntó, fasizta",1,v3_ofensivo_ofuscado,ofensivo_ofuscado|Mirá al {t} este,Insulto,"Nadie te preguntó, fasizta"
V3-01532,"No jodás más, feri",1,v3_ofensivo_ofuscado,ofensivo_ofuscado|Sos un {t} y punto,Insulto,"No jodás más, feri"
V3-01533,"Andate de aquí, ezc0ria",1,v3_ofensivo_ofuscado,ofensivo_ofuscado|Sos un {t} y punto,Insulto,"Andate de aquí, ezc0ria"
V3-01534,"Andá a trabajar, m3diokre",1,v3_ofensivo_ofuscado,"ofensivo_ofuscado|Callate ya, {t}",Insulto,"Andá a trabajar, m3diokre"
V3-01535,Los gays no son gente y nadie lo dice 🏳️‍🌈🤨,2,v3_emoji_clase2,emoji_clase2|emoji_🏳️‍🌈🤨,Personas LGBT,Los gays no son gente y nadie lo dice :bandera_blanca: :arcoíris: :cara_con_ceja_alzada:
V3-01536,Ya llegamos bien a la casa 💪,0,v3_emoji_benigno,emoji_benigno|benigno_💪,,Ya llegamos bien a la casa :bíceps_flexionado:
V3-01537,El profesor nuevo es haitiano,0,v3_nacionalidad_notoxico,nacionalidad_notoxico|El profesor nuevo es {gs},,El profesor nuevo es haitiano
V3-01538,Vamos a ver al policía el domingo,0,v3_jerga_control,jerga_control|Vamos a ver al {t} el domingo,,Vamos a ver al policía el domingo
V3-01539,"Aquí no te queremos, parásitos",2,v3_odio_ofuscado,"odio_ofuscado|Da asco verte, {t}",Xenofobia,"Aquí no te queremos, parásitos"
V3-01540,Ya son demasiados 🙋‍♂️ judíos en este país,2,v3_emoji_clase2,emoji_clase2|emoji_🙋‍♂️,Judíos,Ya son demasiados :persona_con_la_mano_levantada: :signo_masculino: judíos en este país
V3-01541,"Qué ch*calin, en serio",1,v3_ofensivo_ofuscado,"ofensivo_ofuscado|No jodás más, {t}",Insulto,"Qué ch*calin, en serio"
V3-01542,⚱️ Lo van a mandar a dormir,3,v3_emoji_clase3,emoji_clase3|emoji_⚱️,Individuo,:urna_funeraria: Lo van a mandar a dormir
V3-01543,Hay que f.u.s.i.l.a.rlos a todos,3,v3_amenaza_ofuscada,amenaza_ofuscada|Hay que {v}los a todos,Amenaza Directa,Hay que f.u.s.i.l.a.rlos a todos
V3-01544,"Me da igual lo que digas, p1st0",1,v3_ofensivo_ofuscado,"ofensivo_ofuscado|Dejá de escribir, {t}",Insulto,"Me da igual lo que digas, p1st0"
V3-01545,"Mejor callate, chota palom4",1,v3_jerga_ofensivo,"jerga_ofensivo|Mejor callate, {t}",Insulto Directo,"Mejor callate, chota palom4"
V3-01546,"Por gente como vos está así el país, chapiad0ra",2,v3_odio_ofuscado,"odio_ofuscado|Regresate de donde viniste, {t}",Sexismo,"Por gente como vos está así el país, chapiad0ra"
V3-01547,"Andate a tu país, ar*astrada",2,v3_odio_ofuscado,"odio_ofuscado|Ojalá te deporten, {t}",Sexismo,"Andate a tu país, ar*astrada"
V3-01548,"Por gente como vos está así el país, negros",2,v3_odio_ofuscado,"odio_ofuscado|Aquí no te queremos, {t}",Racismo,"Por gente como vos está así el país, negros"
V3-01549,Uno de estos días lo van a b4le4r ya vas a ver,3,v3_amenaza_ofuscada,amenaza_ofuscada|Uno de estos días lo van a {v},Amenaza Directa,Uno de estos días lo van a b4le4r ya vas a ver
V3-01550,Hay que qu3marlos a todos vas a ver,3,v3_amenaza_ofuscada,amenaza_ofuscada|Hay que {v}los a todos,Amenaza Directa,Hay que qu3marlos a todos vas a ver
V3-01551,"Me da igual lo que digas, pay4s0",1,v3_ofensivo_ofuscado,"ofensivo_ofuscado|No sabés nada, {t}",Insulto,"Me da igual lo que digas, pay4s0"
V3-01552,Qué chuco te quedó la casa,0,v3_jerga_notoxico,jerga_notoxico|Qué {t} te quedó la casa,,Qué chuco te quedó la casa
V3-01553,Sos un de$vergue y punto,1,v3_ofensivo_ofuscado,"ofensivo_ofuscado|Qué asco das, {t}",Tono agresivo,Sos un de$vergue y punto
V3-01554,"Da asco verte, i*migrante",2,v3_odio_ofuscado,"odio_ofuscado|Aquí no te queremos, {t}",Xenofobia,"Da asco verte, i*migrante"
V3-01555,Ya le 🔪 tocó a ese,3,v3_emoji_clase3,emoji_clase3|emoji_🔪,Individuo,Ya le :cuchillo_de_cocina: tocó a ese
V3-01556,"Los obesos son puro estorbo, así de simple 🐖",2,v3_emoji_clase2,emoji_clase2|emoji_🐖,Personas con sobrepeso,"Los obesos son puro estorbo, así de simple :cerdo:"
V3-01557,"Andá a trabajar, hijveputa",1,v3_ofensivo_ofuscado,ofensivo_ofuscado|Puro {t} el que escribió eso,Insulto,"Andá a trabajar, hijveputa"
V3-01558,"Me da igual lo que digas, bezt1a",1,v3_ofensivo_ofuscado,"ofensivo_ofuscado|Qué pereza leerte, {t}",Insulto,"Me da igual lo que digas, bezt1a"
V3-01559,"Ojalá te deporten, lezb1ana",2,v3_odio_ofuscado,"odio_ofuscado|Aquí no te queremos, {t}",Homofobia,"Ojalá te deporten, lezb1ana"
V3-01560,"Todo bien con el policía, no hay pleito",0,v3_jerga_control,"jerga_control|Todo bien con el {t}, no hay pleito",,"Todo bien con el policía, no hay pleito"
V3-01561,"Aquí no te queremos, p4ndiller0",2,v3_odio_ofuscado,"odio_ofuscado|Por gente como vos está así el país, {t}",Xenofobia,"Aquí no te queremos, p4ndiller0"
V3-01562,"Ojalá te deporten, gorr0na",2,v3_odio_ofuscado,"odio_ofuscado|Andate a tu país, {t}",Sexismo,"Ojalá te deporten, gorr0na"
V3-01563,Decile que ese ya está rayado,3,v3_amenaza_eufemismo,amenaza_eufemismo|eufemismo_reportado,Amenaza Implícita,Decile que ese ya está rayado
V3-01564,Que lo vayan a torturar de una vez vas a ver,3,v3_amenaza_ofuscada,amenaza_ofuscada|Que lo vayan a {v} de una vez,Amenaza Directa,Que lo vayan a torturar de una vez vas a ver
V3-01565,Fuera los indígenas de nuestro país,2,v3_odio_grupo,odio_grupo|Fuera los {g} de nuestro país,Xenofobia,Fuera los indígenas de nuestro país
V3-01566,"Todos los nicaragüenses son basura, sin excepción",2,v3_odio_grupo,"odio_grupo|Todos los {g} {p}, sin excepción",Xenofobia,"Todos los nicaragüenses son basura, sin excepción"
V3-01567,Vamos a quem4r a ese maje,3,v3_amenaza_ofuscada,amenaza_ofuscada|Vamos a {v} a ese maje,Amenaza Directa,Vamos a quem4r a ese maje
V3-01568,"Cerrá el hocico, pasm4d0",1,v3_ofensivo_ofuscado,ofensivo_ofuscado|Mirá al {t} este,Insulto,"Cerrá el hocico, pasm4d0"
V3-01569,Mirá al rid!culo este,1,v3_ofensivo_ofuscado,"ofensivo_ofuscado|Cerrá el hocico, {t}",Insulto,Mirá al rid!culo este
V3-01570,Saludos al payaso de mi parte,0,v3_jerga_control,jerga_control|Saludos al {t} de mi parte,,Saludos al payaso de mi parte
V3-01571,"Que se vayan los 🤤 retrasados, son una plaga",2,v3_emoji_clase2,emoji_clase2|emoji_🤤,Personas con discapacidad intelectual,"Que se vayan los :cara_babeando: retrasados, son una plaga"
V3-01572,"No sabés nada, chinqado",1,v3_ofensivo_ofuscado,"ofensivo_ofuscado|Qué asco das, {t}",Tono agresivo,"No sabés nada, chinqado"
V3-01573,Se me olvidó el pisto en la casa 😊,0,v3_emoji_benigno,emoji_benigno|benigno_😊,,Se me olvidó el pisto en la casa :cara_feliz_con_ojos_sonrientes:
V3-01574,"Mejor callate, mam@la",1,v3_ofensivo_ofuscado,"ofensivo_ofuscado|Andá a trabajar, {t}",Palabras obscenas,"Mejor callate, mam@la"
V3-01575,Fuera los centroamericanos 🐒🇻🇪 de nuestro país,2,v3_emoji_clase2,emoji_clase2|emoji_🐒🇻🇪,Latinoamericanos,Fuera los centroamericanos :mono: :bandera_venezuela: de nuestro país
V3-01576,"Vaya amigo, nos vemos mañana entonces",0,v3_jerga_control,"jerga_control|Vaya {t}, nos vemos mañana entonces",,"Vaya amigo, nos vemos mañana entonces"
V3-01577,🌻 Ahí le dejo el pisto que le debía,0,v3_emoji_benigno,emoji_benigno|benigno_🌻,,:girasol: Ahí le dejo el pisto que le debía
V3-01578,Que lo vayan a g.o.l.p.e.a.r de una vez anotalo,3,v3_amenaza_ofuscada,amenaza_ofuscada|Que lo vayan a {v} de una vez,Amenaza Directa,Que lo vayan a g.o.l.p.e.a.r de una vez anotalo
V3-01579,"Callate ya, t.o.n.t.o",1,v3_ofensivo_ofuscado,"ofensivo_ofuscado|Cerrá el hocico, {t}",Insulto,"Callate ya, t.o.n.t.o"
V3-01580,Le van a pasar factura 🪦,3,v3_emoji_clase3,emoji_clase3|emoji_🪦,Individuo,Le van a pasar factura :lápida:
V3-01581,"Te van a par7ir si seguís así y no es amenaza, es aviso",3,v3_amenaza_ofuscada,amenaza_ofuscada|Te van a {v} si seguís así,Amenaza Directa,"Te van a par7ir si seguís así y no es amenaza, es aviso"
V3-01582,"Andate a tu país, inm1gr4nte",2,v3_odio_ofuscado,"odio_ofuscado|Ojalá te deporten, {t}",Xenofobia,"Andate a tu país, inm1gr4nte"
V3-01583,Te voy a b4l34r acordate de esto,3,v3_amenaza_ofuscada,amenaza_ofuscada|Te voy a {v},Amenaza Directa,Te voy a b4l34r acordate de esto
V3-01584,"Mientras más latinos llegan, peor está todo 🐒🇪🇨",2,v3_emoji_clase2,emoji_clase2|emoji_🐒🇪🇨,Latinoamericanos,"Mientras más latinos llegan, peor está todo :mono: :bandera_ecuador:"
V3-01585,Los tarados son escoria 🤤 y nadie lo dice,2,v3_emoji_clase2,emoji_clase2|emoji_🤤,Personas con discapacidad intelectual,Los tarados son escoria :cara_babeando: y nadie lo dice
V3-01586,Fuera los obesos de nuestro país 🐷,2,v3_emoji_clase2,emoji_clase2|emoji_🐷,Personas con sobrepeso,Fuera los obesos de nuestro país :cara_de_cerdo:
V3-01587,"Regresate de donde viniste, pandiller",2,v3_odio_ofuscado,"odio_ofuscado|Gente como vos sobra, {t}",Xenofobia,"Regresate de donde viniste, pandiller"
V3-01588,"Ojalá te deporten, trompudooo",2,v3_odio_ofuscado,"odio_ofuscado|Aquí no te queremos, {t}",Racismo,"Ojalá te deporten, trompudooo"
V3-01589,"Me da igual lo que digas, ch0l3ro",1,v3_ofensivo_ofuscado,"ofensivo_ofuscado|Me da igual lo que digas, {t}",Insulto,"Me da igual lo que digas, ch0l3ro"
V3-01590,El concierto estuvo increíble 🌮,0,v3_emoji_benigno,emoji_benigno|benigno_🌮,,El concierto estuvo increíble :taco:
V3-01591,Ya sabe que ya sabés lo que te puede pasar,3,v3_amenaza_eufemismo,amenaza_eufemismo|eufemismo_reportado,Amenaza Implícita,Ya sabe que ya sabés lo que te puede pasar
V3-01592,Los viejos son una plaga 👴👻,2,v3_emoji_clase2,emoji_clase2|emoji_👴👻,Adultos mayores,Los viejos son una plaga :anciano: :fantasma:
V3-01593,Me dan ganas de golpe@rlo te lo juro,3,v3_amenaza_ofuscada,amenaza_ofuscada|Me dan ganas de {v}lo,Amenaza Directa,Me dan ganas de golpe@rlo te lo juro
V3-01594,"Avisale que ya lo mandé a traer, vos sabés",3,v3_amenaza_eufemismo,amenaza_eufemismo|eufemismo_reportado,Amenaza Implícita,"Avisale que ya lo mandé a traer, vos sabés"
V3-01595,El día amaneció bien yuca hoy,0,v3_jerga_notoxico,jerga_notoxico|El día amaneció bien {t} hoy,,El día amaneció bien yuca hoy
V3-01596,"Todos los homosexuales son una plaga, sin excepción 🏳️‍🌈🤨",2,v3_emoji_clase2,emoji_clase2|emoji_🏳️‍🌈🤨,Personas LGBT,"Todos los homosexuales son una plaga, sin excepción :bandera_blanca: :arcoíris: :cara_con_ceja_alzada:"
V3-01597,"Cerrá el hocico, marikon",1,v3_ofensivo_ofuscado,"ofensivo_ofuscado|No jodás más, {t}",Insulto,"Cerrá el hocico, marikon"
V3-01598,A ese ya le tienen el cajón listo te lo juro,3,v3_amenaza_eufemismo,amenaza_eufemismo|eufemismo_con_cola,Amenaza Implícita,A ese ya le tienen el cajón listo te lo juro
V3-01599,"No hablés de lo que no sabés, cu*so",1,v3_ofensivo_ofuscado,"ofensivo_ofuscado|Sos lo peor que hay, {t}",nan,"No hablés de lo que no sabés, cu*so"
V3-01600,🔫 Con gusto lo matarría yo mismo,3,v3_emoji_clase3,emoji_clase3|emoji_🔫,Individuo,:pistola: Con gusto lo matarría yo mismo
V3-01601,"Ya me hartaste, ozic0",1,v3_ofensivo_ofuscado,"ofensivo_ofuscado|Qué asco das, {t}",Insulto,"Ya me hartaste, ozic0"
V3-01602,Sos un pazm4do y punto,1,v3_ofensivo_ofuscado,"ofensivo_ofuscado|Andá a trabajar, {t}",Insulto,Sos un pazm4do y punto
V3-01603,Con gusto lo apuñalarría yo mismo acordate de esto,3,v3_amenaza_ofuscada,amenaza_ofuscada|Con gusto lo {v}ría yo mismo,Amenaza Directa,Con gusto lo apuñalarría yo mismo acordate de esto
V3-01604,Ya son demasiados cubanos en este país,2,v3_odio_grupo,odio_grupo|Ya son demasiados {g} en este país,Xenofobia,Ya son demasiados cubanos en este país
V3-01605,"Por gente como vos está así el país, paras1tar",2,v3_odio_ofuscado,"odio_ofuscado|Da asco verte, {t}",Xenofobia,"Por gente como vos está así el país, paras1tar"
V3-01606,🔪 Se lo van a cargar,3,v3_emoji_clase3,emoji_clase3|emoji_🔪,Individuo,:cuchillo_de_cocina: Se lo van a cargar
V3-01607,"Da asco verte, n-e-g-r-o",2,v3_odio_ofuscado,"odio_ofuscado|Por gente como vos está así el país, {t}",Racismo,"Da asco verte, n-e-g-r-o"
V3-01608,Se me olvidó el chibola en la casa,0,v3_jerga_notoxico,jerga_notoxico|Se me olvidó el {t} en la casa,,Se me olvidó el chibola en la casa
V3-01609,"Nadie te preguntó, culer4",1,v3_ofensivo_ofuscado,"ofensivo_ofuscado|No jodás más, {t}",Insulto,"Nadie te preguntó, culer4"
V3-01610,"Gente como vos sobra, inm1grant3",2,v3_odio_ofuscado,"odio_ofuscado|Gente como vos sobra, {t}",Xenofobia,"Gente como vos sobra, inm1grant3"
V3-01611,"Odio a los judíos, son escoria 🧼",2,v3_emoji_clase2,emoji_clase2|emoji_🧼,Judíos,"Odio a los judíos, son escoria :jabón:"
V3-01612,"Por gente como vos está así el país, chap1adora",2,v3_odio_ofuscado,"odio_ofuscado|Da asco verte, {t}",Sexismo,"Por gente como vos está así el país, chap1adora"
V3-01613,Nos vemos en la chamba del sábado 😊,0,v3_emoji_benigno,emoji_benigno|benigno_😊,,Nos vemos en la chamba del sábado :cara_feliz_con_ojos_sonrientes:
V3-01614,"No hablés de lo que no sabés, khuko",1,v3_ofensivo_ofuscado,ofensivo_ofuscado|Mirá al {t} este,Insulto,"No hablés de lo que no sabés, khuko"
V3-01615,Los tarados son basura 🧠🚫,2,v3_emoji_clase2,emoji_clase2|emoji_🧠🚫,Personas con discapacidad intelectual,Los tarados son basura :cerebro: :prohibido:
V3-01616,"No hablés de lo que no sabés, p.r.e.p.a.g.o",1,v3_ofensivo_ofuscado,"ofensivo_ofuscado|Volvé cuando aprendás, {t}",Insulto,"No hablés de lo que no sabés, p.r.e.p.a.g.o"
V3-01617,"Me da igual lo que digas, patadaaa",1,v3_ofensivo_ofuscado,ofensivo_ofuscado|Sos un {t} y punto,nan,"Me da igual lo que digas, patadaaa"
V3-01618,Si lo vuelvo a ver lo voy a balear te lo juro,3,v3_amenaza_ofuscada,amenaza_ofuscada|Si lo vuelvo a ver lo voy a {v},Amenaza Directa,Si lo vuelvo a ver lo voy a balear te lo juro
V3-01619,"Ojalá te deporten, cuche",2,v3_odio_ofuscado,"odio_ofuscado|Ojalá te deporten, {t}",Homofobia,"Ojalá te deporten, cuche"
V3-01620,Deberían ma7ar a todos esos vas a ver,3,v3_amenaza_ofuscada,amenaza_ofuscada|Deberían {v} a todos esos,Amenaza Directa,Deberían ma7ar a todos esos vas a ver
V3-01621,"Dejá de escribir, cholerooo",1,v3_ofensivo_ofuscado,"ofensivo_ofuscado|Mejor callate, {t}",Insulto,"Dejá de escribir, cholerooo"
V3-01622,"Por gente como vos está así el país, narqentina",2,v3_odio_ofuscado,"odio_ofuscado|Ojalá te deporten, {t}",Xenofobia,"Por gente como vos está así el país, narqentina"
V3-01623,"Por gente como vos está así el país, mareros de mierda",2,v3_odio_ofuscado,"odio_ofuscado|Aquí no te queremos, {t}",Xenofobia,"Por gente como vos está así el país, mareros de mierda"
V3-01624,🌟 Se ve bonito el paisaje desde aquí,0,v3_emoji_benigno,emoji_benigno|benigno_🌟,,:estrella_brillante: Se ve bonito el paisaje desde aquí
V3-01625,"Por gente como vos está así el país, neqro",2,v3_odio_ofuscado,"odio_ofuscado|No perteneces aquí, {t}",Racismo,"Por gente como vos está así el país, neqro"
V3-01626,"Todos los pobres son puro estorbo, sin excepción 🐕",2,v3_emoji_clase2,emoji_clase2|emoji_🐕,Personas en situación de pobreza,"Todos los pobres son puro estorbo, sin excepción :perro:"
V3-01627,Ya quisiera bal3ar a ese maje vas a ver,3,v3_amenaza_ofuscada,amenaza_ofuscada|Ya quisiera {v} a ese maje,Amenaza Directa,Ya quisiera bal3ar a ese maje vas a ver
V3-01628,"Gente como vos sobra, n3qro",2,v3_odio_ofuscado,"odio_ofuscado|Por gente como vos está así el país, {t}",Racismo,"Gente como vos sobra, n3qro"
V3-01629,"Mejor callate, c.i.p.o.t.e",1,v3_ofensivo_ofuscado,ofensivo_ofuscado|Mirá al {t} este,Palabras obscenas,"Mejor callate, c.i.p.o.t.e"
V3-01630,"No jodás más, v4yunco",1,v3_ofensivo_ofuscado,"ofensivo_ofuscado|Andá a trabajar, {t}",Insulto,"No jodás más, v4yunco"
V3-01631,"Dejá de escribir, kh1mbadas",1,v3_ofensivo_ofuscado,"ofensivo_ofuscado|No hablés de lo que no sabés, {t}",Palabras obscenas,"Dejá de escribir, kh1mbadas"
V3-01632,Los gordos son una plaga 🐖,2,v3_emoji_clase2,emoji_clase2|emoji_🐖,Personas con sobrepeso,Los gordos son una plaga :cerdo:
V3-01633,"No perteneces aquí, negra",2,v3_odio_ofuscado,"odio_ofuscado|Ojalá te deporten, {t}",Racismo,"No perteneces aquí, negra"
V3-01634,"Todos los hondureños sobran en este país, sin excepción",2,v3_odio_grupo,"odio_grupo|Todos los {g} {p}, sin excepción",Xenofobia,"Todos los hondureños sobran en este país, sin excepción"
V3-01635,"🐶 Todos los muertos de hambre dan asco, sin excepción",2,v3_emoji_clase2,emoji_clase2|emoji_🐶,Personas en situación de pobreza,":cara_de_perro: Todos los muertos de hambre dan asco, sin excepción"
V3-01636,"Que se vayan los judíos, son basura 🇮🇱🤢",2,v3_emoji_clase2,emoji_clase2|emoji_🇮🇱🤢,Judíos e israelíes,"Que se vayan los judíos, son basura :bandera_israel: :cara_de_náuseas:"
V3-01637,"Eso es lo que sos, un put",1,v3_ofensivo_ofuscado,"ofensivo_ofuscado|Nadie te preguntó, {t}",Palabras obscenas,"Eso es lo que sos, un put"
V3-01638,"Gente como vos sobra, chap1ador4",2,v3_odio_ofuscado,"odio_ofuscado|No perteneces aquí, {t}",Sexismo,"Gente como vos sobra, chap1ador4"
V3-01639,Hay que par7irlos a todos,3,v3_amenaza_ofuscada,amenaza_ofuscada|Hay que {v}los a todos,Amenaza Directa,Hay que par7irlos a todos
V3-01640,"Hablando pura paja, kul0",1,v3_ofensivo_ofuscado,"ofensivo_ofuscado|Mejor callate, {t}",Palabras obscenas,"Hablando pura paja, kul0"
V3-01641,"Qué asco das, cvrzo",1,v3_ofensivo_ofuscado,"ofensivo_ofuscado|Qué pereza leerte, {t}",nan,"Qué asco das, cvrzo"
V3-01642,"Me da igual lo que digas, eskobas",1,v3_ofensivo_ofuscado,"ofensivo_ofuscado|Hablando pura paja, {t}",Insulto,"Me da igual lo que digas, eskobas"
V3-01643,Qué excelente te quedó la casa,0,v3_jerga_control,jerga_control|Qué {t} te quedó la casa,,Qué excelente te quedó la casa
V3-01644,"No perteneces aquí, terr0rista",2,v3_odio_ofuscado,"odio_ofuscado|Por gente como vos está así el país, {t}",Xenofobia,"No perteneces aquí, terr0rista"
V3-01645,Los morenos sobran en este 🦶 país y nadie lo dice,2,v3_emoji_clase2,emoji_clase2|emoji_🦶,Personas racializadas,Los morenos sobran en este :pie: país y nadie lo dice
V3-01646,"Da asco verte, t3rror1st4",2,v3_odio_ofuscado,"odio_ofuscado|Regresate de donde viniste, {t}",Xenofobia,"Da asco verte, t3rror1st4"
V3-01647,"Qué onda amigo, todo bien por allá",0,v3_jerga_control,"jerga_control|Qué onda {t}, todo bien por allá",,"Qué onda amigo, todo bien por allá"
V3-01648,"Andá a trabajar, kh0lco",1,v3_ofensivo_ofuscado,"ofensivo_ofuscado|No hablés de lo que no sabés, {t}",Insulto,"Andá a trabajar, kh0lco"
V3-01649,🪳 Los migrantes son escoria y nadie lo dice,2,v3_emoji_clase2,emoji_clase2|emoji_🪳,Migrantes y grupos étnicos,:cucaracha: Los migrantes son escoria y nadie lo dice
V3-01650,"Eso es lo que sos, un h4rag4n",1,v3_ofensivo_ofuscado,"ofensivo_ofuscado|Otra vez vos, {t}",Insulto,"Eso es lo que sos, un h4rag4n"
V3-01651,El concierto 🎉 estuvo increíble,0,v3_emoji_benigno,emoji_benigno|benigno_🎉,,El concierto :cañón_de_confeti: estuvo increíble
V3-01652,"Los pobres son escoria, así de simple 🐀",2,v3_emoji_clase2,emoji_clase2|emoji_🐀,Migrantes y personas empobrecidas,"Los pobres son escoria, así de simple :rata:"
V3-01653,"Que se vayan los colombianos, dan asco",2,v3_odio_grupo,"odio_grupo|Que se vayan los {g}, {p}",Xenofobia,"Que se vayan los colombianos, dan asco"
V3-01654,Un venezolano siempre va a ser un problema,2,v3_odio_grupo,odio_grupo|Un {gs} siempre va a ser un problema,Xenofobia,Un venezolano siempre va a ser un problema
V3-01655,Los colombianos juegan muy bien al fútbol,0,v3_nacionalidad_notoxico,nacionalidad_notoxico|Los {g} juegan muy bien al fútbol,,Los colombianos juegan muy bien al fútbol
V3-01656,🐁 Los pobres son escoria,2,v3_emoji_clase2,emoji_clase2|emoji_🐁,Migrantes y personas empobrecidas,:ratón: Los pobres son escoria
V3-01657,"Sos lo peor 🐍 que hay, tu*o",1,v3_emoji_clase1,emoji_clase1|emoji_🐍,Individuo,"Sos lo peor :serpiente: que hay, tu*o"
V3-01658,Mirá al kvrso este,1,v3_ofensivo_ofuscado,"ofensivo_ofuscado|Qué pereza leerte, {t}",nan,Mirá al kvrso este
V3-01659,"No sabés nada, chero p*ja",1,v3_jerga_ofensivo,"jerga_ofensivo|No sabés nada, {t}",Insulto Directo,"No sabés nada, chero p*ja"
V3-01660,Ya salieron las notas y me fue bien 🙏,0,v3_emoji_benigno,emoji_benigno|benigno_🙏,,Ya salieron las notas y me fue bien :manos_en_oración:
V3-01661,Te voy a p.a.r.t.i.r te lo juro,3,v3_amenaza_ofuscada,amenaza_ofuscada|Te voy a {v},Amenaza Directa,Te voy a p.a.r.t.i.r te lo juro
V3-01662,Te van a q u e b r a r si seguís así acordate de esto,3,v3_amenaza_ofuscada,amenaza_ofuscada|Te van a {v} si seguís así,Amenaza Directa,Te van a q u e b r a r si seguís así acordate de esto
V3-01663,"Otra vez vos, osicooo",1,v3_ofensivo_ofuscado,"ofensivo_ofuscado|No jodás más, {t}",Insulto,"Otra vez vos, osicooo"
V3-01664,Qué bueno que ya te sentís mejor 👏,0,v3_emoji_benigno,emoji_benigno|benigno_👏,,Qué bueno que ya te sentís mejor :manos_aplaudiendo:
V3-01665,"Regresate de donde viniste, lesbi4na",2,v3_odio_ofuscado,"odio_ofuscado|Gente como vos sobra, {t}",Homofobia,"Regresate de donde viniste, lesbi4na"
V3-01666,Se lo van a cargar 🪦,3,v3_emoji_clase3,emoji_clase3|emoji_🪦,Individuo,Se lo van a cargar :lápida:
V3-01667,Con gusto lo l i n c h a rría yo mismo anotalo,3,v3_amenaza_ofuscada,amenaza_ofuscada|Con gusto lo {v}ría yo mismo,Amenaza Directa,Con gusto lo l i n c h a rría yo mismo anotalo
V3-01668,"Andate a tu país, l3sb14n4",2,v3_odio_ofuscado,"odio_ofuscado|Gente como vos sobra, {t}",Homofobia,"Andate a tu país, l3sb14n4"
V3-01669,Fuera los peruanos de nuestro país,2,v3_odio_grupo,odio_grupo|Fuera los {g} de nuestro país,Xenofobia,Fuera los peruanos de nuestro país
V3-01670,Estudié con dos compañeros chinos,0,v3_nacionalidad_notoxico,nacionalidad_notoxico|Estudié con dos compañeros {g},,Estudié con dos compañeros chinos
V3-01671,Puro v3nganza el que escribió eso,1,v3_ofensivo_ofuscado,"ofensivo_ofuscado|Dejá de escribir, {t}",nan,Puro v3nganza el que escribió eso
V3-01672,Dejame el chibola sobre la mesa 🎉,0,v3_emoji_benigno,emoji_benigno|benigno_🎉,,Dejame el chibola sobre la mesa :cañón_de_confeti:
V3-01673,Quedó chivo el trabajo que hicieron,0,v3_jerga_notoxico,jerga_notoxico|Quedó {t} el trabajo que hicieron,,Quedó chivo el trabajo que hicieron
V3-01674,"🐒🇲🇽 Que se vayan los centroamericanos, son puro estorbo",2,v3_emoji_clase2,emoji_clase2|emoji_🐒🇲🇽,Latinoamericanos,":mono: :bandera_méxico: Que se vayan los centroamericanos, son puro estorbo"
V3-01675,"Todos los sudacas dan asco, sin excepción 🐒🇭🇳",2,v3_emoji_clase2,emoji_clase2|emoji_🐒🇭🇳,Latinoamericanos,"Todos los sudacas dan asco, sin excepción :mono: :bandera_honduras:"
V3-01676,Mi tío es codo pero buena gente,0,v3_jerga_notoxico,jerga_notoxico|Mi tío es {t} pero buena gente,,Mi tío es codo pero buena gente
V3-01677,"Dejá de escribir, c*les",1,v3_ofensivo_ofuscado,"ofensivo_ofuscado|Andate de aquí, {t}",Palabras obscenas,"Dejá de escribir, c*les"
V3-01678,"Otra vez vos, t0nt0",1,v3_ofensivo_ofuscado,"ofensivo_ofuscado|No sabés nada, {t}",Insulto,"Otra vez vos, t0nt0"
V3-01679,"Que se vayan los pobres, son una plaga 🐶",2,v3_emoji_clase2,emoji_clase2|emoji_🐶,Personas en situación de pobreza,"Que se vayan los pobres, son una plaga :cara_de_perro:"
V3-01680,"Qué asco das, imbek1l",1,v3_ofensivo_ofuscado,"ofensivo_ofuscado|Nadie te preguntó, {t}",Insulto,"Qué asco das, imbek1l"
V3-01681,"Otra vez vos, pendeja",1,v3_ofensivo_ofuscado,"ofensivo_ofuscado|Me da igual lo que digas, {t}",Insulto,"Otra vez vos, pendeja"
V3-01682,Ese bicho nunca falla cuando se le necesita,0,v3_jerga_notoxico,jerga_notoxico|Ese {t} nunca falla cuando se le necesita,,Ese bicho nunca falla cuando se le necesita
V3-01683,Los venezolanos tienen unas playas preciosas,0,v3_nacionalidad_notoxico,nacionalidad_notoxico|Los {g} tienen unas playas preciosas,,Los venezolanos tienen unas playas preciosas
V3-01684,Los nicaragüenses ganaron el partido de ayer,0,v3_nacionalidad_notoxico,nacionalidad_notoxico|Los {g} ganaron el partido de ayer,,Los nicaragüenses ganaron el partido de ayer
V3-01685,"Los trans son 🏳️‍🌈🤨 escoria, así de simple",2,v3_emoji_clase2,emoji_clase2|emoji_🏳️‍🌈🤨,Personas LGBT,"Los trans son :bandera_blanca: :arcoíris: :cara_con_ceja_alzada: escoria, así de simple"
V3-01686,"Cerrá el hocico, 1mbekil",1,v3_ofensivo_ofuscado,"ofensivo_ofuscado|Qué asco das, {t}",Insulto,"Cerrá el hocico, 1mbekil"
